Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Compras,Firefox 58.0,,2018-02-01 09:33:05,2018-02-01 09:35:05,"1m - 59,948s",PASSED
,,,,,,
Test Cases/COMPRAS/Adicionar Carrinho,Firefox 58.0,,2018-02-01 09:33:05,2018-02-01 09:33:58,"52,915s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 09:33:06,2018-02-01 09:33:14,"8,332s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 09:33:14,2018-02-01 09:33:20,"5,612s",PASSED
click,Firefox 58.0,,2018-02-01 09:33:20,2018-02-01 09:33:23,"3,558s",PASSED
setText,Firefox 58.0,,2018-02-01 09:33:23,2018-02-01 09:33:27,"4,140s",PASSED
setText,Firefox 58.0,,2018-02-01 09:33:27,2018-02-01 09:33:31,"4,102s",PASSED
click,Firefox 58.0,,2018-02-01 09:33:31,2018-02-01 09:33:37,"5,331s",PASSED
click,Firefox 58.0,,2018-02-01 09:33:37,2018-02-01 09:33:45,"8,628s",PASSED
click,Firefox 58.0,,2018-02-01 09:33:45,2018-02-01 09:33:48,"2,279s",PASSED
click,Firefox 58.0,,2018-02-01 09:33:48,2018-02-01 09:33:51,"3,780s",PASSED
click,Firefox 58.0,,2018-02-01 09:33:52,2018-02-01 09:33:54,"2,267s",PASSED
check,Firefox 58.0,,2018-02-01 09:33:54,2018-02-01 09:33:57,"3,277s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 09:33:57,2018-02-01 09:33:58,"1,323s",PASSED
,,,,,,
Test Cases/COMPRAS/Minhas inscricoes - Concluida,Firefox 58.0,,2018-02-01 09:33:58,2018-02-01 09:35:05,"1m - 6,649s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 09:33:59,2018-02-01 09:34:06,"7,446s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 09:34:06,2018-02-01 09:34:12,"6,296s",PASSED
click,Firefox 58.0,,2018-02-01 09:34:12,2018-02-01 09:34:16,"3,982s",PASSED
setText,Firefox 58.0,,2018-02-01 09:34:16,2018-02-01 09:34:20,"4,104s",PASSED
setText,Firefox 58.0,,2018-02-01 09:34:20,2018-02-01 09:34:24,"4,094s",PASSED
click,Firefox 58.0,,2018-02-01 09:34:24,2018-02-01 09:34:28,"3,831s",PASSED
click,Firefox 58.0,,2018-02-01 09:34:28,2018-02-01 09:34:31,"2,268s",PASSED
click,Firefox 58.0,,2018-02-01 09:34:31,2018-02-01 09:34:34,"3,503s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-01 09:34:34,2018-02-01 09:34:53,"18,517s",PASSED
click,Firefox 58.0,,2018-02-01 09:34:53,2018-02-01 09:34:56,"2,941s",PASSED
check,Firefox 58.0,,2018-02-01 09:34:56,2018-02-01 09:35:04,"8,269s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 09:35:04,2018-02-01 09:35:05,"1,228s",PASSED
