Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Emails,Chrome 63.0.3239.132,,2018-01-26 09:59:53,2018-01-26 10:00:09,"16,296s",PASSED
,,,,,,
Test Cases/ENTRE/RecuperacaoSenha,Chrome 63.0.3239.132,,2018-01-26 09:59:53,2018-01-26 10:00:09,"15,979s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-26 09:59:53,2018-01-26 09:59:56,"2,846s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-26 09:59:56,2018-01-26 10:00:02,"5,816s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 10:00:02,2018-01-26 10:00:03,"1,367s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 10:00:03,2018-01-26 10:00:03,"0,084s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-26 10:00:03,2018-01-26 10:00:06,"3,018s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-26 10:00:06,2018-01-26 10:00:07,"0,134s",PASSED
click,Chrome 63.0.3239.132,,2018-01-26 10:00:07,2018-01-26 10:00:07,"0,068s",PASSED
check,Chrome 63.0.3239.132,,2018-01-26 10:00:07,2018-01-26 10:00:08,"1,642s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-26 10:00:08,2018-01-26 10:00:09,"0,631s",PASSED
