Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mensagens de validacao,Chrome 63.0.3239.132,,2018-01-25 17:45:38,2018-01-25 17:47:29,"1m - 51,026s",FAILED
,,,,,,
Test Cases/MSG CPF Invalido,Chrome 63.0.3239.132,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-01-25 17:45:39,2018-01-25 17:45:50,"11,580s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:45:39,2018-01-25 17:45:42,"2,822s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:45:42,2018-01-25 17:45:48,"5,803s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:45:48,2018-01-25 17:45:49,"1,439s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:45:49,2018-01-25 17:45:49,"0,087s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:45:49,2018-01-25 17:45:49,"0,121s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:45:49,2018-01-25 17:45:49,"0,092s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:45:49,2018-01-25 17:45:49,"0,079s",PASSED
check,Chrome 63.0.3239.132,,2018-01-25 17:45:49,2018-01-25 17:45:49,"0,092s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-25 17:45:49,2018-01-25 17:45:50,"0,659s",PASSED
,,,,,,
Test Cases/MSG CPF nao cadastrado,Chrome 63.0.3239.132,,2018-01-25 17:45:50,2018-01-25 17:46:33,"42,385s",FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:45:50,2018-01-25 17:45:52,"1,961s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:45:52,2018-01-25 17:45:58,"5,839s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:45:58,2018-01-25 17:45:59,"1,336s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:45:59,2018-01-25 17:46:00,"0,063s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:46:00,2018-01-25 17:46:00,"0,109s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:46:00,2018-01-25 17:46:00,"0,069s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:46:00,2018-01-25 17:46:00,"0,079s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:46:00,2018-01-25 17:46:01,"1,484s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:46:01,2018-01-25 17:46:33,"31,301s",FAILED
,,,,,,
Test Cases/MSG Senha Errada,Chrome 63.0.3239.132,,2018-01-25 17:46:33,2018-01-25 17:46:45,"12,705s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:46:33,2018-01-25 17:46:35,"2,586s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:46:35,2018-01-25 17:46:41,"5,867s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:46:41,2018-01-25 17:46:43,"1,428s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:46:43,2018-01-25 17:46:43,"0,067s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:46:43,2018-01-25 17:46:43,"0,106s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:46:43,2018-01-25 17:46:43,"0,073s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:46:43,2018-01-25 17:46:43,"0,079s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:46:43,2018-01-25 17:46:45,"1,653s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:46:45,2018-01-25 17:46:45,"0,065s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-25 17:46:45,2018-01-25 17:46:45,"0,627s",PASSED
,,,,,,
Test Cases/MSG Cadastrar CPF,Chrome 63.0.3239.132,,2018-01-25 17:46:45,2018-01-25 17:47:29,"43,228s",FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:46:46,2018-01-25 17:46:47,"1,919s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:46:47,2018-01-25 17:46:54,"6,920s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:46:54,2018-01-25 17:46:56,"1,399s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:46:56,2018-01-25 17:46:56,"0,062s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:46:56,2018-01-25 17:46:56,"0,095s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:46:56,2018-01-25 17:46:57,"1,478s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:46:57,2018-01-25 17:47:29,"31,229s",FAILED
