Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Nova Suite,Firefox 58.0,,2018-01-31 11:39:40,2018-01-31 11:43:01,"3m - 21,407s",PASSED
,,,,,,
Test Cases/ENTRE/MSG Cadastrar CPF,Firefox 58.0,,2018-01-31 11:39:40,2018-01-31 11:40:08,"27,828s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:39:40,2018-01-31 11:39:49,"8,377s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:39:49,2018-01-31 11:39:54,"5,559s",PASSED
click,Firefox 58.0,,2018-01-31 11:39:54,2018-01-31 11:39:58,"3,463s",PASSED
setText,Firefox 58.0,,2018-01-31 11:39:58,2018-01-31 11:40:02,"4,140s",PASSED
click,Firefox 58.0,,2018-01-31 11:40:02,2018-01-31 11:40:04,"2,390s",PASSED
click,Firefox 58.0,,2018-01-31 11:40:04,2018-01-31 11:40:06,"2,274s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:40:06,2018-01-31 11:40:08,"1,314s",PASSED
,,,,,,
Test Cases/ENTRE/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-01-31 11:40:08,2018-01-31 11:40:42,"34,426s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:40:08,2018-01-31 11:40:15,"7,431s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:40:15,2018-01-31 11:40:21,"5,412s",PASSED
click,Firefox 58.0,,2018-01-31 11:40:21,2018-01-31 11:40:25,"4,171s",PASSED
doubleClick,Firefox 58.0,,2018-01-31 11:40:25,2018-01-31 11:40:27,"2,249s",PASSED
setText,Firefox 58.0,,2018-01-31 11:40:27,2018-01-31 11:40:31,"4,104s",PASSED
setText,Firefox 58.0,,2018-01-31 11:40:31,2018-01-31 11:40:35,"4,063s",PASSED
click,Firefox 58.0,,2018-01-31 11:40:35,2018-01-31 11:40:38,"2,277s",PASSED
check,Firefox 58.0,,2018-01-31 11:40:38,2018-01-31 11:40:41,"3,285s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:40:41,2018-01-31 11:40:42,"1,269s",PASSED
,,,,,,
Test Cases/ENTRE/MSG CPF Ja Cadastrado,Firefox 58.0,,2018-01-31 11:40:42,2018-01-31 11:41:11,"28,847s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:40:42,2018-01-31 11:40:50,"7,419s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:40:50,2018-01-31 11:40:56,"6,191s",PASSED
click,Firefox 58.0,,2018-01-31 11:40:56,2018-01-31 11:40:59,"3,408s",PASSED
setText,Firefox 58.0,,2018-01-31 11:40:59,2018-01-31 11:41:03,"4,113s",PASSED
click,Firefox 58.0,,2018-01-31 11:41:03,2018-01-31 11:41:07,"3,070s",PASSED
check,Firefox 58.0,,2018-01-31 11:41:07,2018-01-31 11:41:10,"3,249s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:41:10,2018-01-31 11:41:11,"1,252s",PASSED
,,,,,,
Test Cases/ENTRE/MSG CPF nao cadastrado,Firefox 58.0,,2018-01-31 11:41:11,2018-01-31 11:41:48,"37,354s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:41:11,2018-01-31 11:41:19,"7,463s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:41:19,2018-01-31 11:41:25,"6,540s",PASSED
click,Firefox 58.0,,2018-01-31 11:41:25,2018-01-31 11:41:29,"3,361s",PASSED
doubleClick,Firefox 58.0,,2018-01-31 11:41:29,2018-01-31 11:41:31,"2,233s",PASSED
setText,Firefox 58.0,,2018-01-31 11:41:31,2018-01-31 11:41:35,"4,094s",PASSED
doubleClick,Firefox 58.0,,2018-01-31 11:41:35,2018-01-31 11:41:37,"2,261s",PASSED
setText,Firefox 58.0,,2018-01-31 11:41:37,2018-01-31 11:41:41,"4,076s",PASSED
click,Firefox 58.0,,2018-01-31 11:41:41,2018-01-31 11:41:44,"2,673s",PASSED
check,Firefox 58.0,,2018-01-31 11:41:44,2018-01-31 11:41:47,"3,257s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:41:47,2018-01-31 11:41:48,"1,225s",PASSED
,,,,,,
Test Cases/ENTRE/MSG Senha Errada,Firefox 58.0,,2018-01-31 11:41:48,2018-01-31 11:42:28,"39,634s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:41:49,2018-01-31 11:41:57,"7,959s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:41:57,2018-01-31 11:42:03,"6,564s",PASSED
doubleClick,Firefox 58.0,,2018-01-31 11:42:03,2018-01-31 11:42:05,"2,176s",PASSED
doubleClick,Firefox 58.0,,2018-01-31 11:42:05,2018-01-31 11:42:11,"5,258s",PASSED
setText,Firefox 58.0,,2018-01-31 11:42:11,2018-01-31 11:42:15,"4,090s",PASSED
doubleClick,Firefox 58.0,,2018-01-31 11:42:15,2018-01-31 11:42:17,"2,213s",PASSED
setText,Firefox 58.0,,2018-01-31 11:42:17,2018-01-31 11:42:21,"4,065s",PASSED
click,Firefox 58.0,,2018-01-31 11:42:21,2018-01-31 11:42:24,"2,667s",PASSED
check,Firefox 58.0,,2018-01-31 11:42:24,2018-01-31 11:42:27,"3,258s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:42:27,2018-01-31 11:42:28,"1,210s",PASSED
,,,,,,
Test Cases/ENTRE/RecuperacaoSenha,Firefox 58.0,,2018-01-31 11:42:28,2018-01-31 11:43:01,"32,961s",PASSED
openBrowser,Firefox 58.0,,2018-01-31 11:42:28,2018-01-31 11:42:35,"6,996s",PASSED
navigateToUrl,Firefox 58.0,,2018-01-31 11:42:35,2018-01-31 11:42:41,"6,250s",PASSED
click,Firefox 58.0,,2018-01-31 11:42:41,2018-01-31 11:42:45,"3,398s",PASSED
click,Firefox 58.0,,2018-01-31 11:42:45,2018-01-31 11:42:47,"2,253s",PASSED
delay,Firefox 58.0,,2018-01-31 11:42:47,2018-01-31 11:42:50,"3,035s",PASSED
setText,Firefox 58.0,,2018-01-31 11:42:50,2018-01-31 11:42:54,"4,103s",PASSED
click,Firefox 58.0,,2018-01-31 11:42:54,2018-01-31 11:42:57,"2,268s",PASSED
check,Firefox 58.0,,2018-01-31 11:42:57,2018-01-31 11:43:00,"3,248s",PASSED
closeBrowser,Firefox 58.0,,2018-01-31 11:43:00,2018-01-31 11:43:01,"1,233s",PASSED
