Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pag Entre,Firefox 58.0,,2018-02-01 17:21:54,2018-02-01 17:24:04,"2m - 10,235s",PASSED
,,,,,,
Test Cases/ENTRE/Login Valido,Firefox 58.0,,2018-02-01 17:21:54,2018-02-01 17:22:29,"34,670s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 17:21:55,2018-02-01 17:22:04,"9,224s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 17:22:04,2018-02-01 17:22:09,"5,278s",PASSED
click,Firefox 58.0,,2018-02-01 17:22:09,2018-02-01 17:22:13,"3,316s",PASSED
setText,Firefox 58.0,,2018-02-01 17:22:13,2018-02-01 17:22:17,"4,143s",PASSED
setText,Firefox 58.0,,2018-02-01 17:22:17,2018-02-01 17:22:21,"4,088s",PASSED
click,Firefox 58.0,,2018-02-01 17:22:21,2018-02-01 17:22:25,"3,738s",PASSED
check,Firefox 58.0,,2018-02-01 17:22:25,2018-02-01 17:22:28,"3,289s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 17:22:28,2018-02-01 17:22:29,"1,254s",PASSED
,,,,,,
Test Cases/ENTRE/RecuperacaoSenha,Firefox 58.0,,2018-02-01 17:22:29,2018-02-01 17:23:01,"31,833s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 17:22:29,2018-02-01 17:22:36,"6,992s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 17:22:36,2018-02-01 17:22:42,"5,196s",PASSED
click,Firefox 58.0,,2018-02-01 17:22:42,2018-02-01 17:22:45,"3,320s",PASSED
click,Firefox 58.0,,2018-02-01 17:22:45,2018-02-01 17:22:47,"2,242s",PASSED
delay,Firefox 58.0,,2018-02-01 17:22:47,2018-02-01 17:22:50,"3,017s",PASSED
setText,Firefox 58.0,,2018-02-01 17:22:50,2018-02-01 17:22:54,"4,119s",PASSED
click,Firefox 58.0,,2018-02-01 17:22:54,2018-02-01 17:22:56,"2,242s",PASSED
check,Firefox 58.0,,2018-02-01 17:22:56,2018-02-01 17:23:00,"3,249s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 17:23:00,2018-02-01 17:23:01,"1,258s",PASSED
,,,,,,
Test Cases/ENTRE/Meus dados - Alterar Senha,Firefox 58.0,,2018-02-01 17:23:01,2018-02-01 17:24:04,"1m - 3,303s",PASSED
openBrowser,Firefox 58.0,,2018-02-01 17:23:01,2018-02-01 17:23:09,"7,842s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 17:23:09,2018-02-01 17:23:14,"5,087s",PASSED
click,Firefox 58.0,,2018-02-01 17:23:14,2018-02-01 17:23:17,"3,274s",PASSED
setText,Firefox 58.0,,2018-02-01 17:23:17,2018-02-01 17:23:21,"4,094s",PASSED
setText,Firefox 58.0,,2018-02-01 17:23:21,2018-02-01 17:23:26,"4,100s",PASSED
click,Firefox 58.0,,2018-02-01 17:23:26,2018-02-01 17:23:29,"3,905s",PASSED
click,Firefox 58.0,,2018-02-01 17:23:29,2018-02-01 17:23:32,"2,269s",PASSED
click,Firefox 58.0,,2018-02-01 17:23:32,2018-02-01 17:23:38,"5,855s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-01 17:23:38,2018-02-01 17:23:39,"1,473s",PASSED
setText,Firefox 58.0,,2018-02-01 17:23:39,2018-02-01 17:23:43,"4,065s",PASSED
setText,Firefox 58.0,,2018-02-01 17:23:43,2018-02-01 17:23:47,"4,079s",PASSED
click,Firefox 58.0,,2018-02-01 17:23:47,2018-02-01 17:23:53,"5,778s",PASSED
click,Firefox 58.0,,2018-02-01 17:23:53,2018-02-01 17:23:58,"4,570s",PASSED
click,Firefox 58.0,,2018-02-01 17:23:58,2018-02-01 17:24:00,"2,259s",PASSED
check,Firefox 58.0,,2018-02-01 17:24:00,2018-02-01 17:24:03,"3,243s",PASSED
closeBrowser,Firefox 58.0,,2018-02-01 17:24:03,2018-02-01 17:24:04,"1,267s",PASSED
