Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pagamentos,Chrome 63.0.3239.132,,2018-01-25 17:57:39,2018-01-25 17:57:58,"19,670s",PASSED
,,,,,,
Test Cases/Adicionar Carrinho,Chrome 63.0.3239.132,,2018-01-25 17:57:39,2018-01-25 17:57:58,"19,369s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:57:39,2018-01-25 17:57:42,"2,799s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:57:42,2018-01-25 17:57:48,"5,574s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:57:48,2018-01-25 17:57:49,"1,346s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:57:49,2018-01-25 17:57:49,"0,134s",PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:57:49,2018-01-25 17:57:49,"0,103s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:57:49,2018-01-25 17:57:52,"2,391s",PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:57:52,2018-01-25 17:57:55,"3,850s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:57:55,2018-01-25 17:57:56,"0,116s",PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-25 17:57:56,2018-01-25 17:57:56,"0,047s",PASSED
doubleClick,Chrome 63.0.3239.132,,2018-01-25 17:57:56,2018-01-25 17:57:58,"1,972s",PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-25 17:57:58,2018-01-25 17:57:58,"0,652s",PASSED
