Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validar Campo e MSG suite,Firefox 58.0,,2018-02-02 09:57:59,2018-02-02 10:02:04,"4m - 4,664s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG Cadastrar CPF,Firefox 58.0,,2018-02-02 09:58:00,2018-02-02 09:58:30,"29,938s",PASSED
openBrowser,Firefox 58.0,,2018-02-02 09:58:00,2018-02-02 09:58:09,"9,326s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-02 09:58:09,2018-02-02 09:58:16,"6,196s",PASSED
click,Firefox 58.0,,2018-02-02 09:58:16,2018-02-02 09:58:19,"3,560s",PASSED
setText,Firefox 58.0,,2018-02-02 09:58:19,2018-02-02 09:58:23,"4,162s",PASSED
click,Firefox 58.0,,2018-02-02 09:58:23,2018-02-02 09:58:26,"2,785s",PASSED
click,Firefox 58.0,,2018-02-02 09:58:26,2018-02-02 09:58:28,"2,267s",PASSED
closeBrowser,Firefox 58.0,,2018-02-02 09:58:28,2018-02-02 09:58:30,"1,358s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF Invalido,Firefox 58.0,Teste de valida\u00E7\u00E3o de mensagem para CPF Invalido na area de login,2018-02-02 09:58:30,2018-02-02 09:59:04,"34,756s",PASSED
openBrowser,Firefox 58.0,,2018-02-02 09:58:30,2018-02-02 09:58:37,"7,458s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-02 09:58:37,2018-02-02 09:58:44,"6,316s",PASSED
click,Firefox 58.0,,2018-02-02 09:58:44,2018-02-02 09:58:47,"3,519s",PASSED
doubleClick,Firefox 58.0,,2018-02-02 09:58:47,2018-02-02 09:58:49,"2,270s",PASSED
setText,Firefox 58.0,,2018-02-02 09:58:49,2018-02-02 09:58:54,"4,119s",PASSED
setText,Firefox 58.0,,2018-02-02 09:58:54,2018-02-02 09:58:58,"4,099s",PASSED
click,Firefox 58.0,,2018-02-02 09:58:58,2018-02-02 09:59:00,"2,291s",PASSED
check,Firefox 58.0,,2018-02-02 09:59:00,2018-02-02 09:59:03,"3,283s",PASSED
closeBrowser,Firefox 58.0,,2018-02-02 09:59:03,2018-02-02 09:59:04,"1,259s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF Ja Cadastrado,Firefox 58.0,,2018-02-02 09:59:04,2018-02-02 09:59:34,"29,291s",PASSED
openBrowser,Firefox 58.0,,2018-02-02 09:59:05,2018-02-02 09:59:12,"7,466s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-02 09:59:12,2018-02-02 09:59:18,"6,218s",PASSED
click,Firefox 58.0,,2018-02-02 09:59:18,2018-02-02 09:59:22,"3,694s",PASSED
setText,Firefox 58.0,,2018-02-02 09:59:22,2018-02-02 09:59:26,"4,134s",PASSED
click,Firefox 58.0,,2018-02-02 09:59:26,2018-02-02 09:59:29,"3,103s",PASSED
check,Firefox 58.0,,2018-02-02 09:59:29,2018-02-02 09:59:32,"3,266s",PASSED
closeBrowser,Firefox 58.0,,2018-02-02 09:59:32,2018-02-02 09:59:34,"1,300s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG CPF nao cadastrado,Firefox 58.0,,2018-02-02 09:59:34,2018-02-02 10:00:11,"37,623s",PASSED
openBrowser,Firefox 58.0,,2018-02-02 09:59:34,2018-02-02 09:59:41,"7,438s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-02 09:59:41,2018-02-02 09:59:48,"6,556s",PASSED
click,Firefox 58.0,,2018-02-02 09:59:48,2018-02-02 09:59:52,"3,639s",PASSED
doubleClick,Firefox 58.0,,2018-02-02 09:59:52,2018-02-02 09:59:54,"2,233s",PASSED
setText,Firefox 58.0,,2018-02-02 09:59:54,2018-02-02 09:59:58,"4,100s",PASSED
doubleClick,Firefox 58.0,,2018-02-02 09:59:58,2018-02-02 10:00:00,"2,238s",PASSED
setText,Firefox 58.0,,2018-02-02 10:00:00,2018-02-02 10:00:04,"4,100s",PASSED
click,Firefox 58.0,,2018-02-02 10:00:04,2018-02-02 10:00:07,"2,703s",PASSED
check,Firefox 58.0,,2018-02-02 10:00:07,2018-02-02 10:00:10,"3,247s",PASSED
closeBrowser,Firefox 58.0,,2018-02-02 10:00:10,2018-02-02 10:00:11,"1,212s",PASSED
,,,,,,
Test Cases/Validacao Campo e MSG/MSG Senha Errada,Firefox 58.0,,2018-02-02 10:00:11,2018-02-02 10:00:50,"39,008s",PASSED
